# Curve 1, 5942 points
# Curve title: ""data_20150224_084811.txt"   using ($1/100):(($6-200)/16200*9.81+0.3)"
# Curve title: ""data_20150224_084811.txt"   using ($1/100):($3/26300*33*6)"
# time[s] acc[m/s^2] vel[degree/s] 
+816.21 +0.13  -58.86
+816.22 +0.16  -57.77
+816.23 +0.18  -57.34
+816.24 +0.22  -57.00
+816.25 +0.25  -56.40
+816.26 +0.26  -55.57
+816.27 +0.22  -54.90
+816.28 +0.26  -54.38
+816.29 +0.29  -53.75
+816.30 +0.26  -52.44
+816.31 +0.28  -51.08
+816.32 +0.30  -49.37
+816.33 +0.34  -48.30
+816.34 +0.34  -47.93
+816.35 +0.30  -47.83
+816.36 +0.29  -47.27
+816.37 +0.33  -46.06
+816.38 +0.36  -44.50
+816.39 +0.37  -43.28
+816.40 +0.38  -42.16
+816.41 +0.42  -41.29
+816.42 +0.40  -40.38
+816.43 +0.42  -39.22
+816.44 +0.35  -37.99
+816.45 +0.40  -36.65
+816.46 +0.40  -35.38
+816.47 +0.39  -33.94
+816.48 +0.37  -32.51
+816.49 +0.40  -31.14
+816.50 +0.43  -29.93
+816.51 +0.40  -28.78
+816.52 +0.38  -27.64
+816.53 +0.43  -26.55
+816.54 +0.51  -25.24
+816.55 +0.44  -23.86
+816.56 +0.40  -22.66
+816.57 +0.42  -21.58
+816.58 +0.43  -20.26
+816.59 +0.43  -18.77
+816.60 +0.43  -17.27
+816.61 +0.44  -15.95
+816.62 +0.42  -14.76
+816.63 +0.42  -13.36
+816.64 +0.40  -11.68
+816.65 +0.41  -10.05
+816.66 +0.48  -8.70 
+816.67 +0.46  -7.23 
+816.68 +0.46  -5.79 
+816.69 +0.46  -4.23 
+816.70 +0.45  -2.69 
+816.71 +0.47  -1.17 
+816.72 +0.48  +0.11 
+816.73 +0.44  +1.20 
+816.74 +0.53  +2.43 
+816.75 +0.48  +3.69 
+816.76 +0.46  +5.13 
+816.77 +0.46  +6.64 
+816.78 +0.46  +8.24 
+816.79 +0.42  +9.64 
+816.80 +0.44  +10.83
+816.81 +0.46  +12.17
+816.82 +0.46  +13.72
+816.83 +0.44  +15.32
+816.84 +0.42  +16.81
+816.85 +0.43  +18.23
+816.86 +0.44  +19.58
+816.87 +0.43  +21.00
+816.88 +0.45  +22.49
+816.89 +0.48  +23.94
+816.90 +0.47  +25.17
+816.91 +0.42  +26.29
+816.92 +0.45  +27.34
+816.93 +0.46  +28.35
+816.94 +0.44  +29.58
+816.95 +0.48  +30.88
+816.96 +0.45  +32.21
+816.97 +0.40  +33.63
+816.98 +0.41  +34.85
+816.99 +0.43  +36.69
+817.00 +0.43  +37.24
+817.01 +0.41  +38.17
+817.02 +0.41  +39.50
+817.03 +0.41  +40.88
+817.04 +0.42  +41.93
+817.05 +0.42  +42.84
+817.06 +0.41  +43.66
+817.07 +0.42  +44.85
+817.08 +0.42  +45.80
+817.09 +0.41  +46.78
+817.10 +0.39  +47.64
+817.11 +0.38  +48.30
+817.12 +0.38  +48.89
+817.13 +0.38  +49.47
+817.14 +0.37  +50.39
+817.15 +0.32  +51.53
+817.16 +0.31  +52.64
+817.17 +0.32  +53.31
+817.18 +0.31  +53.96
+817.19 +0.31  +54.54
+817.20 +0.30  +55.19
+817.21 +0.28  +55.83
+817.22 +0.25  +56.64
+817.23 +0.20  +57.06
+817.24 +0.14  +57.14
+817.25 +0.35  +56.91
+817.26 +0.29  +56.66
